timestamp,ticker,action,price,entry_price,gain_loss_pct,holding_days,notes
2025-12-27T02:01:01.583230,SMCI,SELL_SIGNAL,30.64,20.0,53.2,1,Profit target reached
2025-12-27T03:57:15.345475,SMCI,SELL_SIGNAL,30.64,20.0,53.2,1,Profit target reached
2025-12-27T04:39:01.847991,SMCI,SELL_SIGNAL,30.64,20.0,53.2,1,Profit target reached
2025-12-27T05:26:57.735577,SMCI,SELL_SIGNAL,30.64,20.0,53.2,1,Profit target reached
2025-12-27T06:38:28.313013,SMCI,SELL_SIGNAL,30.64,20.0,53.2,1,Profit target reached
2025-12-27T07:24:11.175026,SMCI,SELL_SIGNAL,30.64,20.0,53.2,1,Profit target reached
2025-12-27T08:33:34.319122,SMCI,SELL_SIGNAL,30.64,20.0,53.2,1,Profit target reached
2025-12-27T09:26:34.171789,SMCI,SELL_SIGNAL,30.64,20.0,53.2,1,Profit target reached
2025-12-27T10:26:29.002515,SMCI,SELL_SIGNAL,30.64,20.0,53.2,1,Profit target reached
2025-12-27T11:21:02.720374,SMCI,SELL_SIGNAL,30.64,20.0,53.2,1,Profit target reached
2025-12-27T12:50:39.052112,SMCI,SELL_SIGNAL,30.64,20.0,53.2,1,Profit target reached
